Open,High,Low,Close,Volume
174.09,184.48,170.89,180.45,1671658761
156.29,183.3,151.49,177.87,3596804483
135.49,158.71,135.4,157.99,3822309699
113.08,143.49,110.822,135.13,4759246184
108.515,115.1,86.62,108.92,6811006433
123.51,123.7,103.65,108.38,6175538770
114.75,143.44,113.01,124.92,4756110221
136.0,153.13,116.25,120.07,5950612536
138.83,146.54,126.86,134.29,4086168557
134.7,152.89,131.8,138.25,4498075137
121.765,144.42,115.14,132.76,5628704792
116.01,127.665,100.95,121.44,6268619540
117.53,131.26,90.69,119.37,8105367559
123.47,136.15,102.54,117.02,6407092755
1136.21,1255.87,117.01,123.54,5234031077
850.77,1158.1915,812.5456,1096.33,964797076
902.99,922.25,756.06,864.02,1004973847
800.0,974.0,794.3503,903.56,1210961732
621.0,823.94,616.5,791.12,1107789923
492.44,634.93,473.2,615.27,969880029
465.25,504.3299,450.1,495.22,739627720
408.84,505.48,408.69,467.7,914975019
440.3,476.09,392.3001,407.8,1014241343
497.62,498.0,409.8,434.99,858010319
464.595,502.66,403.11,493.55,1363638357
425.17,480.88,413.46,467.29,870901174
384.89,439.9,373.56,423.02,1052802408
278.4,419.38,272.4,378.34,1169406527
275.09,281.1,262.2,277.49,742662535
231.92,278.3431,222.97,277.77,1126657651
196.91,238.88,196.11,232.16,1039409020
148.51,206.28,140.34,195.37,945495814
169.99,187.9,138.84,146.14,894615121
138.11,169.98,129.56,169.23,1060101416
123.47,138.5,108.13,134.97,1255185787
142.09,145.47,119.4601,121.39,1312616395
181.82,192.74,149.5851,150.94,1206915173
148.99,182.44,140.55,181.63,1056635538
187.24,196.19,148.62,151.59,1055676405
185.405,204.0,155.67,186.72,1383046898
273.75,275.58,182.9,185.47,1109910745
242.91,289.46,206.5,272.86,1163311421
251.04,269.2499,208.9,243.85,1064192509
298.15,307.11,208.88,244.86,1067591645
332.1947,332.8934,271.45,294.11,1105975362
256.49,346.47,252.27,326.76,1079213759
207.5,257.09,195.55,255.67,497107602
224.85,229.86,204.67,207.16,499956172
197.0,230.43,187.62,223.85,641440828
805.0,835.0,181.64,194.99,371371175
650.8,806.5,636.13,800.1,256748671
605.0,651.099,538.36,649.78,176367494
542.89,648.566,540.45,600.38,167976641
555.0,557.0,462.66,533.93,191236844
522.1335,614.9,516.11,548.58,166258921
524.17,559.9743,503.44,519.59,153776622
539.69,549.25,510.527,522.2,128016408
506.31,587.66,495.8,536.06,189808791
550.32,573.9399,492.0,501.36,200593091
539.2,589.0699,468.17,541.22,396511776
429.3,543.0,428.61,534.98,241733886
380.83,431.69,376.52,424.59,202608883
353.33,385.7,346.32,379.91,243002408
284.35,367.27,280.84,355.02,312360731
255.65,304.2,238.39,292.28,282017179
276.9,284.89,180.68,263.6,394309113
235.7,316.32,235.45,270.07,296379863
238.75,259.5,231.27,236.43,152923749
216.46,241.81,200.37,235.3,164328924
199.6,221.41,198.59,216.74,183460462
175.0,208.9,170.13,201.02,194847227
164.58,188.4,163.25,174.07,160186748
169.14,173.45,147.39,167.51,238715294
172.57,178.89,155.0,168.72,210468645
135.91,165.37,132.6,164.23,205833345
183.11,184.87,135.39,135.46,279518852
183.26,193.47,173.3,181.0,236076606
156.27,185.0,144.8,179.56,301712810
144.5,165.28,142.58,154.26,286143490
130.64,160.88,127.69,143.75,421791107
172.6,174.68,124.46,133.5,311279473
212.3,222.0,133.31,163.43,404058585
284.16,292.76,176.01,210.83,324449489
280.15,285.22,258.68,281.02,158504898
246.13,281.72,238.72,280.68,272951421
234.09,256.6,233.26,244.86,158081687
254.0,269.2,235.01,236.9,219638498
224.57,260.5,222.2,252.19,299456113
